what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1340131132912
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1340131132929
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1340131132936
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1340131132951
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1340131132952
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1340131132952
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1340131132958
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1340131132969
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1340131132984
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1340131132985
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1340131132999
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1340131133012
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1340131133033
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1340131133095
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1340131133109
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1340131133131
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1340131133154
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1340131133168
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1340131133203
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1340131133212
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1340131133225
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1340131133240
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1340131133240
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1340131133250
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1340131133260
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1340131133272
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1340131133307
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1340131133320
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340131133342
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1340131133355
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1340131133363
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1340131133377
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1340131133388
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1340131133388
started,bundle,com.google.gdt.eclipse.designer.GXT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.GXT",1340131133406
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.SmartGWT",1340131133410
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.core",1340131133410
started,bundle,com.google.gdt.eclipse.core,2.5.0.v201112160242-rel-r37,"com.google.gdt.eclipse.core",1340131133410
started,bundle,com.google.gdt.eclipse.login,2.5.0.v201112160242-rel-r37,"com.google.gdt.eclipse.login",1340131133411
started,bundle,com.google.gdt.eclipse.managedapis,2.5.0.v201112160242-rel-r37,"com.google.gdt.eclipse.managedapis",1340131133411
started,bundle,com.google.gdt.eclipse.suite.ext,2.5.0.v201112160242-rel-r37,"com.google.gdt.eclipse.suite.ext",1340131133411
started,bundle,org.eclipse.wb.core,1.2.0.r37x201110191514,"org.eclipse.wb.core",1340131133426
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201110191514,"org.eclipse.wb.core.lib",1340131133453
started,bundle,org.eclipse.egit.core,2.0.0.201206130900-r,"org.eclipse.egit.core",1340131133463
started,bundle,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui",1340131133474
started,bundle,org.eclipse.jgit,2.0.0.201206130900-r,"org.eclipse.jgit",1340131133475
os,sysinfo,,,"linux",1340131133479
arch,sysinfo,,,"x86_64",1340131133479
ws,sysinfo,,,"gtk",1340131133479
locale,sysinfo,,,"pt_BR",1340131133479
processors,sysinfo,,,"4",1340131133480
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340131133480
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1340131133480
java.specification.name,sysinfo,,,"Java Platform API Specification",1340131133480
java.specification.vendor,sysinfo,,,"Oracle Corporation",1340131133480
java.specification.version,sysinfo,,,"1.7",1340131133480
java.vendor,sysinfo,,,"Oracle Corporation",1340131133480
java.version,sysinfo,,,"1.7.0_04",1340131133480
java.vm.info,sysinfo,,,"mixed mode",1340131133480
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1340131133480
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340131133480
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1340131133480
java.vm.specification.version,sysinfo,,,"1.7",1340131133480
java.vm.vendor,sysinfo,,,"Oracle Corporation",1340131133480
java.vm.version,sysinfo,,,"23.0-b21",1340131133480
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1340131133775
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.ui",1340131134056
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1340131134140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340131134178
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110201842,"com.google.gdt.eclipse.designer",1340131134649
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1340131134670
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1340131134721
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r37x201110201842,"com.google.gdt.eclipse.designer.UiBinder",1340131134809
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1340131136230
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1340131137508
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1340131137517
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340131153917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340131160748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340131191149
opened,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.RepositoriesView",1340131200862
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.I20110201-0800,"org.eclipse.ui.views.properties.tabbed",1340131200976
error,log,,,"Contributor org.eclipse.ui.navigator.ProjectExplorer cannot be created.",1340131201009
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1340131201061
activated,perspective,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.GitRepositoryExploring",1340131201097
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1340131201103
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.RepositoriesView",1340131204511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340131226274
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340131228681
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1340131229066
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1340131229084
activated,perspective,org.eclipse.egit.ui,,"org.eclipse.egit.ui.GitRepositoryExploring",1340131677066
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1340131677068
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1340131677069
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1340131677069
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1340131677072
